serial,name,value,notes
LGR005,CC_depth_of_conductivity_and_temperature_measurements_m,1.23,
LGR005,CC_height_of_air_humidity_measurement_m,5.21,
LGR005,CC_height_of_air_temperature_measurement_m,5.21,
LGR005,CC_height_of_windspeed_sensor_above_sealevel_m,5.74,
LGR005,CC_jcool,1,Constant
LGR005,CC_jwarm,1,Constant
LGR005,CC_lat,59.9341,
LGR005,CC_lon,-39.4673,
LGR005,CC_zinvpbl,600,Constant
