serial,name,value,notes
18980,CC_lat,44.5289666666667,
18980,CC_lon,-125.389783333333,
18980,CC_scale_factor1,0.45,copied from last deployment
18980,CC_scale_factor2,0.45,
18980,CC_scale_factor3,0.45,
18980,CC_scale_factor4,0.45,
