serial,name,value,notes
21717,CC_depth,500000,Units in mm
21717,CC_latitude,59.9337333333333,Similar to but not same as GP03FLMx
21717,CC_longitude,-39.4738333333333,
21717,CC_scale_factor1,0.45,"Per Chris Wingard, for all ADCPT and ADCPS instruments use a value of 0.45 dB/count."
21717,CC_scale_factor2,0.45,"Per Chris Wingard, for all ADCPT and ADCPS instruments use a value of 0.45 dB/count."
21717,CC_scale_factor3,0.45,"Per Chris Wingard, for all ADCPT and ADCPS instruments use a value of 0.45 dB/count."
21717,CC_scale_factor4,0.45,"Per Chris Wingard, for all ADCPT and ADCPS instruments use a value of 0.45 dB/count."
